Author	Title	City	Publisher	Year	Pages	Size	Price
A is een anker. Berijmd A B C voor de jeugd. Alkmaar	P	Unknown	Unknown	1884	Unknown	Unknown	f 0.50
Unknown	A vous ma pensée	Leid	B	1883	Unknown	Unknown	f 1.25
Aaken (G. K. G. van)	»Alle negen !" Kegelaars-feestmarsch voor piano	's Bosch	Henri Mosmans	1891	Unknown	Unknown	f 0.60
Aalberts (Rika). Met een plaatje. Schiedam	H	Unknown	Unknown	1885	Unknown	Unknown	f 0.15
Aalderink (H.)	Handleiding voor de toepassing der wetten van militie en schutterij ten behoeve der gemeentebesturen	Gron	J	1885	Unknown	Unknown	f 2.90
Unknown	Aan de Algemeene Synode	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Amsterdam	onder dagteekening van den 17en Februari 1886	Amst	J	1886	Unknown	Unknown	f 0.50
Amsterdam	 wien de schuld? Samenspraak tusschen vier personen	Leiden	A	1887	Unknown	Unknown	f 0.15
Aanhangsel op de modellen	behoorende bij het reglement van administratie bij de landmacht van het Koninkrijk der Nederlanden, vastgesteld bij het koninklijk besluit van 7 Febr	(Verzamelingen	behoorende bij de modellen No	1886	Unknown	Unknown	f 0.25
Unknown	Aanmerkingen (Eenige) op het request van de Heeren J	s	betreffende den invoer van gezaagd, geschaafd en geploegd hout, gezonden aan Z	1883	Unknown	Unknown	f 0.50
Unknown	Aanmerkt de leliën des velds	Amst	Höveker & Zn	1891	Unknown	Unknown	f 1.25
Unknown	Aanteekenboekje voor verzuim (ten dienste van de R	Breda	Ed	1891	Unknown	Unknown	f 0.12
Unknown	Aanteekeningen op Deuteronomium	's Hage	H	Unknown	Unknown	Unknown	f 1.50
Unknown	- op Exodus	's Hage	H	1883	Unknown	Unknown	f 1.50
Unknown	--- op het Ontwerp van Wet tot regeling van het Notaris-ambt, door een practicus	Hoorn	P	1883	Unknown	Unknown	f 0.50
Unknown	-- over het gebed des Heeren	Nijmegen	P	1890	Unknown	Unknown	f 0.30
-- (Dagelijksche) voor 1888-92. Leeuw.	Hugo Suringar	in linnen	elke jaarg	Unknown	Unknown	Unknown	f 0.40
Unknown	--(Genealogische) betreffende het geslacht Röell en Van Gheel Röell	(Overgedrukt	uit het Jaarboek van den Nederlandschen adel)	1888	Unknown	Unknown	f 1.75
Aanvulling en werkkring van het korps militaire intendanten	door E	's Hage	Gebr	1887	Unknown	Unknown	f 0.60
Aard en tucht van het natuurwetenschap denken. Leiden	Gebr	Unknown	Unknown	1883	Unknown	Unknown	f 0.60
Aarde (De) en haar volken Haarl.	H	Unknown	Unknown	Unknown	Unknown	Unknown	f 5.20
Aarts (M.)	Van Houtens Cacao -wals, voor piano met humoristischen tekst	's Bosch	Henri Mosmans	1889	Unknown	Unknown	f 0.50
A B boek met gekleurde prentjes. Alkm.	P	1890	post 80	Unknown	Unknown	Unknown	f 0.50
A  -(Nieuw groot). Schied.	H	)	Columbus, de ontdekker van Amerika	1885	Unknown	Unknown	f 0.90
A B C (Het gouden). Amst.	Höveker & Zoon	Unknown	Unknown	1885	Unknown	Unknown	f 0.60
Unknown	A B C boek (Nieuw groot)	Kluyve Az Ainst	(Rott	1888	Unknown	Unknown	f 0.10
A B C boek (Nieuw groot)	(Prettig)	Amst	S	Unknown	Unknown	Unknown	f 0.25
Unknown	Abdoellah bin Abdelkadir Moensji	Verhaal van de reis van Abdoellah naar Kalantan en van zijne reis naar Djeddah	in het Maleisch, voor de lithographische pers geschreven en van aanteekeningen voorzien door H	1889	Unknown	Unknown	f 2.50
Abel (F. E. L. A.)	Voorschriften betrekkelijk de Nationale Militie, ten dienste van de Landmacht verzameld, geordend en voorzien van aanteekeningen en van een alphab	's Hage	Gebr	1885	Unknown	Unknown	f 2.25
Ablaing van Giessenburg (R. C. d')	De l'évolution des idées religieuses dans la Palestine	Introduction: Evolution des idées religieuses dans la Mésopotamie et dans 1'Egypte	depuis 4400 jusqu' á 2000 avant notre ère	Unknown	Unknown	Unknown	f 2.50
Ablaing van Giessenburg (W. J. d')	Bannerheeren en Ridderschap van Zutphen	's Hage	C	1795	Unknown	Unknown	Unknown
Ablaing van Giessenburg (W. J. d')	Nederlands adelsboek of verzameling van adels inlijvingen, verheffingen en-erkenningen, verleeningen van titel in het Koningrijk der Nederlanden sedert1814	's Hage	C	1888	Unknown	Unknown	f 2.90
Ablaing van Giessenburg (W. J. d')	 -Nederlandsche gemeentewapens of wapenboek der gemeenten,l"'heerlijkheden, waterschappen, en corporatiën van het Koninkrijk der Nederlanden	Getrokken uit het officiëele register	bij het Ministerie van Justitie te 's Gravenhage bewaard, voorafgegaan door eene geschiedkundige inleiding, waarin een overzicht gegeven wordt van al de Koninklijke besluiten, betreffende dit onderwerp uitgevaardigd, en eene alphabetische naamlijst van alle in het werk voorkomende wapens	1887	Unknown	Unknown	f 2.50
